gp - cdata1
0;44.8336
1;44.8336
2;44.8336
3;18.2802
4;18.2802
5;18.2802
6;15.1118
7;15.1118
8;15.1118
9;15.1118
10;15.1118
11;15.1118
12;15.1118
13;15.1118
14;15.1118
15;15.1118
16;12.2082
17;12.2082
18;12.2082
19;12.2082
20;12.2082
21;12.2082
22;7.97127

gp-akieava.csv
0;17.0046
1;17.0046
2;12.084
3;12.084
4;12.084
5;12.084
6;12.084
7;12.084
8;12.084
9;12.084
10;12.084
11;12.084
12;12.084
13;12.084
14;7.36593

fgp-akieava.csv
0;17.0046
1;11.0046
2;10.084
3;10.084
4;10.084
5;9.084
6;7.084
7;6.084
8;5.084


