55.25	21.21	9.440	12.83	169	220
53.67	22.52	9.210	12.74	152	252
51.00	22.84	10.120	14.32	219	347
47.40	26.10	10.333	12.80	198	316
51.80	22.95	9.780	13.16	249	308
51.00	25.10	9.080	13.53	190	275
46.98	26.67	11.150	12.62	222	283
63.50	11.10	11.890	11.34	122	191
59.09	14.75	12.190	9.24	182	197
61.96	11.08	13.240	10.82	205	263
60.83	13.27	12.170	12.49	253	250
53.59	25.76	11.330	8.18	211	297
58.06	21.00	12.950	6.51	225	285
59.12	21.85	9.380	5.93	222	305
68.85	12.12	11.140	6.38	118	208
50.09	19.19	11.130	9.24	225	296
41.16	35.49	10.620	11.58	155	244
46.52	30.61	12.340	8.63	233	316
59.45	19.19	5.800	13.10	146	291
58.17	21.55	6.090	13.04	238	288
54.89	23.70	5.900	13.95	141	339
57.91	14.81	8.470	14.65	208	324
60.00	14.88	10.510	12.49	219	305
56.73	16.49	8.960	14.68	238	308
54.48	15.97	8.060	19.85	177	305
57.08	15.30	7.440	17.88	216	352
52.35	22.82	13.670	7.78	97	119
56.95	17.78	14.410	8.36	200	219
48.24	25.98	12.200	11.73	219	316
50.55	24.73	13.090	10.00	166	225
29.01	36.61	8.110	17.63	210	261
26.23	51.76	5.870	14.81	104	194
43.68	28.13	9.920	15.81	165	225
44.56	22.73	10.190	17.33	236	327
51.55	22.71	5.750	14.35	233	275
55.03	22.72	6.550	12.46	213	322
66.02	7.44	5.750	19.33	236	327
66.22	10.26	4.820	17.29	236	297
53.36	24.13	5.090	15.78	197	239
48.98	27.75	5.890	15.20	199	325
44.20	27.06	9.390	14.35	180	241
44.72	24.62	14.210	13.41	199	252
26.20	20.20	26.100	26.40	261	264
39.84	35.70	21.100	2.22	167	238
60.06	17.13	9.580	11.83	252	291
68.53	6.21	8.830	12.22	175	233
52.00	23.99	6.760	15.26	216	224
58.84	18.19	5.260	16.33	197	333
48.95	24.92	7.310	16.45	283	355
38.95	33.98	7.610	17.30	202	255

